Rk,Name,Age,Tm,PA,rOBA,Rbat+,BAbip,ISO,HR%,SO%,BB%,EV,HardH%,LD%,GB%,FB%,GB/FB,Pull%,Cent%,Oppo%,WPA,cWPA,RE24,RS%,SB%,XBT%
1,Cory Abbott\abbotco01,25,CHC,3,0.267,56,0.5,0,0.00%,33.30%,0.00%,68.4,0.00%,0.00%,100.00%,0.00%,,50.00%,50.00%,0.00%,0,0.00%,-0.1,0%,,
2,José Abreu\abreujo02,34,CHW,659,0.358,125,0.293,0.219,4.60%,21.70%,9.30%,92,49.40%,21.70%,47.30%,25.60%,0.9,25.20%,57.70%,17.10%,1.6,0.90%,30.1,28%,100%,51%
3,Ronald Acuna Jr.\acunaro01,23,ATL,360,0.42,156,0.311,0.313,6.70%,23.60%,13.60%,93.8,54.90%,29.00%,31.80%,30.90%,0.47,33.20%,55.30%,11.50%,2.6,1.40%,22.4,41%,74%,67%
4,Willy Adames\adamewi01,25,TOT,555,0.358,125,0.331,0.219,4.50%,28.10%,10.30%,89.5,44.70%,21.60%,37.10%,36.00%,0.59,30.70%,52.90%,16.40%,3.1,2.30%,16.9,32%,56%,63%
5,Willy Adames\adamewi01,25,TBR,142,0.282,86,0.276,0.174,3.50%,35.90%,7.00%,88.5,44.40%,18.50%,30.90%,39.50%,0.45,25.90%,56.80%,17.30%,0.3,0.20%,-1,36%,33%,63%
6,Willy Adames\adamewi01,25,MIL,413,0.384,138,0.349,0.236,4.80%,25.40%,11.40%,89.8,44.80%,22.60%,39.10%,34.90%,0.64,32.20%,51.70%,16.10%,2.8,2.20%,17.9,31%,67%,63%
7,Matt Adams\adamsma01,32,COL,40,0.221,11,0.222,0.028,0.00%,22.50%,10.00%,82.2,29.60%,11.10%,51.90%,29.60%,1.08,29.60%,59.30%,11.10%,-0.3,-0.10%,-5.8,30%,,0%
8,Riley Adams\adamsri03,25,TOT,120,0.341,113,0.351,0.162,1.70%,33.30%,12.50%,88.4,42.40%,25.40%,45.80%,28.80%,0.84,23.70%,59.30%,16.90%,0.9,-0.20%,0.7,27%,,36%
9,Riley Adams\adamsri03,25,TOR,30,0.155,-19,0.188,0.071,0.00%,40.00%,6.70%,86.3,50.00%,25.00%,37.50%,37.50%,0.6,37.50%,56.30%,6.30%,-0.5,-0.30%,-6.5,40%,,0%
10,Riley Adams\adamsri03,25,WSN,90,0.403,157,0.415,0.197,2.20%,31.10%,14.40%,89.2,39.50%,25.60%,48.80%,25.60%,0.95,18.60%,60.50%,20.90%,1.5,0.00%,7.2,25%,,42%
11,Jo Adell\adelljo01,22,LAA,140,0.311,92,0.298,0.162,2.90%,22.90%,5.70%,85.8,32.00%,26.30%,46.50%,18.20%,0.88,27.30%,58.60%,14.10%,0.9,0.10%,7.8,35%,67%,50%
12,Joan Adon\adonjo01,22,WSN,2,0,-128,,0,0.00%,100.00%,0.00%,,,,,,,,,,-0.1,0.00%,-0.8,,,
13,Ehire Adrianza\adriaeh01,31,ATL,209,0.326,91,0.29,0.154,2.40%,20.10%,10.10%,84.6,32.90%,27.80%,39.60%,21.50%,0.67,27.80%,57.60%,14.60%,-0.1,-0.20%,6.1,43%,,60%
14,Jesus Aguilar\aguilje01,31,MIA,510,0.338,109,0.279,0.198,4.30%,18.20%,9.00%,89.6,41.00%,26.70%,33.30%,31.70%,0.5,33.10%,53.40%,13.50%,1.3,0.10%,19.3,19%,,31%
15,Nick Ahmed\ahmedni01,31,ARI,473,0.28,65,0.279,0.118,1.10%,22.00%,7.20%,86.2,27.90%,21.60%,47.40%,21.60%,0.93,31.80%,51.40%,16.80%,-1.2,-0.40%,-17.6,32%,78%,58%
16,Keegan Akin\akinke01,26,BAL,2,0,-129,,0,0.00%,100.00%,0.00%,,,,,,,,,,0,0.00%,-0.4,,,
17,Shogo Akiyama\akiyash01,33,CIN,183,0.248,34,0.268,0.049,0.00%,21.90%,7.70%,86.1,31.70%,27.40%,55.60%,12.90%,1.28,18.50%,57.30%,24.20%,-1.1,-0.70%,-7.6,31%,40%,64%
18,R.J. Alaniz\alanirj01,30,CIN,1,0,-145,,0,0.00%,100.00%,0.00%,,,,,,,,,,0,0.00%,-0.3,,,
19,Hanser Alberto\alberha01,28,KCR,255,0.295,76,0.293,0.133,0.80%,10.20%,1.60%,83.9,30.30%,24.90%,35.30%,24.90%,0.6,33.50%,52.50%,14.00%,0.3,-0.40%,-2.5,32%,75%,31%
20,Ozzie Albies\albieoz01,24,ATL,686,0.346,103,0.278,0.229,4.40%,18.70%,6.90%,89.5,37.40%,22.80%,31.30%,38.00%,0.46,33.70%,47.80%,18.50%,1.4,1.20%,17.7,40%,83%,58%
21,Sandy Alcantara\alcansa01,25,MIA,64,0.08,-80,0.154,0.017,0.00%,70.30%,4.70%,60.6,7.10%,6.70%,40.00%,6.70%,3,20.00%,40.00%,40.00%,-1.3,-0.30%,-15,0%,,25%
22,Sergio Alcantara\alcanse01,24,CHC,255,0.286,67,0.28,0.123,2.00%,29.00%,11.80%,86.8,33.60%,21.50%,46.30%,23.50%,0.88,32.20%,50.30%,17.40%,-1.3,-0.30%,-8.4,35%,100%,55%
23,Tyler Alexander\alexaty01,26,DET,2,0,-122,0,0,0.00%,50.00%,0.00%,,,0.00%,100.00%,0.00%,,0.00%,100.00%,0.00%,-0.1,0.00%,-0.8,,,
24,Jorge Alfaro\alfarjo01,28,MIA,311,0.293,73,0.354,0.098,1.30%,31.80%,3.50%,90.9,49.20%,25.50%,57.10%,15.30%,1.33,19.40%,63.80%,16.80%,-0.1,-0.10%,-8.5,21%,89%,30%
25,Anthony Alford\alforan01,26,PIT,148,0.316,102,0.371,0.173,3.40%,39.20%,8.10%,89,42.70%,24.00%,37.30%,37.30%,0.6,25.30%,60.00%,14.70%,-0.3,-0.20%,-7.3,22%,45%,86%
26,Kolby Allard\allarko01,23,TEX,2,0,-125,0,0,0.00%,50.00%,0.00%,85.9,0.00%,0.00%,0.00%,0.00%,0,0.00%,100.00%,0.00%,0,0.00%,-0.4,,,
27,Austin Allen\allenau01,27,OAK,8,0.359,132,0.25,0.375,12.50%,37.50%,0.00%,94.2,40.00%,40.00%,40.00%,20.00%,0.67,40.00%,60.00%,0.00%,0,0.00%,1,100%,,
28,Greg Allen\allengr01,28,NYY,48,0.4,139,0.4,0.162,0.00%,27.10%,10.40%,83.8,24.00%,40.00%,20.00%,24.00%,0.26,40.00%,48.00%,12.00%,0.4,0.20%,1.6,45%,100%,86%
29,Logan Allen\allenlo01,24,CLE,1,0,-127,,0,0.00%,100.00%,0.00%,,,,,,,,,,0,0.00%,-0.5,,,
30,Abraham Almonte\almonab01,32,ATL,175,0.32,88,0.255,0.182,2.90%,21.70%,14.90%,89.3,41.80%,25.20%,46.80%,21.60%,0.88,33.30%,52.30%,14.40%,-0.1,-0.10%,-1,28%,50%,35%
31,Yency Almonte\almonye01,27,COL,3,0,-144,0,0,0.00%,66.70%,0.00%,95.5,100.00%,0.00%,100.00%,0.00%,,0.00%,100.00%,0.00%,0,0.00%,-0.6,,,
32,Albert Almora\almoral01,27,NYM,54,0.143,-27,0.171,0.058,0.00%,31.50%,3.70%,90.3,45.70%,17.10%,57.10%,14.30%,1.33,31.40%,54.30%,14.30%,-1.2,-1.00%,-9.8,38%,,50%
33,Pete Alonso\alonspe01,26,NYM,637,0.377,139,0.274,0.257,5.80%,19.90%,9.40%,91,47.40%,22.80%,39.00%,30.80%,0.64,27.40%,53.00%,19.60%,1.7,1.10%,17.1,24%,100%,27%
34,Jose Altuve\altuvjo01,31,HOU,678,0.359,127,0.28,0.211,4.60%,13.40%,9.70%,86.6,34.90%,23.60%,39.10%,24.60%,0.66,37.10%,52.00%,10.80%,1.5,1.40%,18.1,42%,63%,42%
35,Eddy Alvarez\alvared01,31,MIA,74,0.294,74,0.244,0.141,1.40%,24.30%,5.40%,88.5,37.00%,28.30%,34.80%,30.40%,0.55,30.40%,47.80%,21.70%,-0.4,0.00%,-1.8,33%,100%,83%
36,Jose Alvarez\alvarjo02,32,SFG,5,0.348,119,,0,0.00%,40.00%,40.00%,37.7,0.00%,0.00%,0.00%,0.00%,,100.00%,0.00%,0.00%,0,0.00%,-0.1,50%,,
37,Yordan Álvarez\alvaryo01,24,HOU,598,0.369,133,0.32,0.253,5.50%,24.30%,8.40%,93,54.20%,27.60%,37.70%,30.10%,0.61,26.30%,56.50%,17.20%,1.4,1.00%,17.4,34%,100%,40%
38,Adbert Alzolay\alzolad01,26,CHC,33,0.089,-76,0.111,0.032,0.00%,39.40%,3.00%,76.8,5.30%,5.30%,78.90%,0.00%,7.5,5.30%,52.60%,42.10%,-0.7,-0.40%,-7,33%,,0%
39,Trey Amburgey\amburtr01,26,NYY,4,0.224,32,0,0,0.00%,50.00%,0.00%,83.8,0.00%,0.00%,100.00%,0.00%,,50.00%,50.00%,0.00%,0,0.00%,-0.7,,,
40,Brett Anderson\anderbr04,33,MIL,34,0.087,-83,0,0,0.00%,41.20%,11.80%,64.1,0.00%,0.00%,56.30%,12.50%,3,25.00%,62.50%,12.50%,-0.6,-0.30%,-7.8,50%,,0%
41,Brian Anderson\anderbr06,28,MIA,264,0.327,97,0.317,0.129,2.70%,24.60%,9.90%,88.8,38.70%,20.80%,48.80%,25.00%,0.95,18.50%,61.30%,20.20%,0,-0.10%,5.1,21%,100%,28%
42,Chase Anderson\anderch01,33,PHI,14,0,-195,0,0,0.00%,42.90%,0.00%,51.2,12.50%,12.50%,25.00%,0.00%,2,25.00%,50.00%,25.00%,-0.2,-0.10%,-2.8,,,
43,Ian Anderson\anderia01,23,ATL,41,0.075,-101,0.25,0.027,0.00%,70.70%,2.40%,63.2,18.20%,18.20%,45.50%,0.00%,2.5,0.00%,63.60%,36.40%,-0.8,-0.50%,-10.6,0%,,
44,Tanner Anderson\anderta01,28,PIT,2,0,-131,0,0,0.00%,50.00%,0.00%,51.4,0.00%,0.00%,0.00%,0.00%,,0.00%,100.00%,0.00%,0,0.00%,-0.9,,,
45,Tim Anderson\anderti01,28,CHW,551,0.357,124,0.372,0.159,3.10%,21.60%,4.00%,89.6,42.50%,23.00%,56.00%,19.30%,1.27,24.70%,54.50%,20.80%,1.9,0.50%,14.1,46%,72%,64%
46,Tyler Anderson\anderty01,31,TOT,40,0.133,-36,0.333,0.077,2.50%,72.50%,2.50%,71.3,10.00%,20.00%,50.00%,10.00%,1.67,10.00%,80.00%,10.00%,-0.5,-0.20%,-7.2,0%,,0%
47,Tyler Anderson\anderty01,31,PIT,37,0.125,-43,0.333,0.081,2.70%,73.00%,0.00%,71.3,10.00%,20.00%,50.00%,10.00%,1.67,10.00%,80.00%,10.00%,-0.5,-0.20%,-7.2,0%,,0%
